source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
16,1,865,Transurethral Resection of Prostate (TURP) & Transurethral Resection of Bladder Tumour (TURBT),17250,19838
16,1,866,Transurethral Resection of Prostate (TURP) with Cystolithotripsy,17000,19550
16,1,867,Closure of Urethral Fistula,11000,12650
16,1,868,Orchidopexy - Unilateral -Open,9867,11347
16,1,869,Orchidopexy - Unilateral- Lap/Endoscopic,12334,14184
16,1,870,Orchidopexy - Bilateral -Open,12282,14124
16,1,871,Orchidopexy - Bilateral -Lap/Endoscopic,14500,16675
16,1,872,Cystolithotomy -Suprapubic,9775,11241
16,1,873,Endoscopic Removal of Stone in Bladder,3450,3968
16,1,874,Resection Bladder Neck Endoscopic /Bladder neck incision/transurethral incision on prostrate,10925,12564
16,1,875,Ureteroscopic Surgery,10350,11903
16,1,876,Urethroplasty 1st Stage,10925,12564
16,1,877,Scrotal Exploration,8556,9839
16,1,878,Perineal Urethrostomy,4715,5422
16,1,879,Dilatation of Stricture Urethra under G.A.,2000,2300
16,1,880,Dilatation of Stricture Urethra under LA,1725,1984
16,1,881,Laparoscopic Nephrectomy (Select CGHS rate Code 508 for approved rate),33350,38353
16,1,882,Laparoscopic partial Nephrectomy,10000,11500
16,1,883,Laparoscopic pyelolithotomy,12650,14548
16,1,884,Laparoscopic Pyeloplasty,9775,11241
16,1,885,Laparoscopic surgery for Renal cyst,9775,11241
16,1,886,Laparoscopic ureterolithotomy,11500,13225
16,1,887,Laparoscopic Nephroureterectomy,13225,15209
16,1,888,Extracorporeal Shock Wave Lithotripsy (ESWL),19550,22483
16,1,889,Uroflow Study (Uroflometry),450,518
16,1,890,Urodynamic Study (Cystometry),480,552
16,1,891,Cystoscopy with Retrograde Catheter -Unilateral /RGP,2803,3223
16,1,892,Cystoscopy with Retrograde Catheter - Bilateral /RGP,4675,5376
16,1,893,Cystoscopy with Bladder Biopsy (Cold Cup Biopsy),3381,3888
16,1,894,Voiding-cysto-urethrogram and retrograde urethrogram (Nephrostogram),414,476
16,1,895,Radical prostatectomy-Open,17825,20499
16,1,896,Radical prostatectomy-Laparoscopic,20125,23144
16,1,897,Radical prostatectomy- Robotic (Robotic Partial Nephrectomy),20125,23144
16,1,898,Holmium YAG Prostate Surgery,15000,17250
16,1,899,Holmium YAG Optical Internal Urethrotomy (OIU),4600,5290
16,1,900,Holmium YAG Core through internal Urethrotomy,17250,19838
16,1,901,Holmium YAG Stone Lithotripsy,10200,11730
16,1,902,Green Light laser for prostate,17250,19838
16,1,903,Retrograde Intrarenal Surgery (RIRS)/ Flexible Ureteroscopy,6800,7820
16,1,904,Microscopic Vaso-Epididymal Anastomosis (VEA)/ Vasovasostomy (reversal of vasectomy for Infertility treatment) (Select CGHS rate code 799 for approved rate),13500,15525
16,1,905,Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic bladder),6800,7820
16,1,906,Peyronie’s disease – Plaque excision with grafting,3400,3910
16,1,907,High Intensity Focus Ultrasound (HIFU) (Robotic) for Carcinoma prostrate and renal cell carcinoma,4600,5290
16,1,908,Prosthetic surgery for urinary incontinence,2300,2645
16,1,909,Transrectal Ultrasound (TRUS) guided prostate biopsy,575,661
16,1,910,Ultrasound Guided Percutaneous Nephrostomy (PCN),720,828
16,1,911,Other Major Surgery-Nephrology and Urology,15000,17250
16,1,912,Other Minor Surgery-Nephrology and Urology,6800,7820
16,1,,TREATMENT PROCEDURE NEURO-SURGERY,Non- NABH/Non- NABL Rates,NABH/NABL Rates
16,1,913,Craniotomy and Evacuation of Haematoma -Subdural,50715,58322
17,1,914,Craniotomy and Evacuation of Haematoma -Extradural,50000,57500
17,1,915,Evacuation /Excision of Brain Abscess by craniotomy,40000,46000
17,1,916,Excision of Lobe (Frontal Temporal Cerebellum etc.),41000,47150
17,1,917,Excision of Brain Tumours -Supratentorial,39123,44991
17,1,918,Excision of Brain Tumours -Infratentorial,45000,51750
17,1,919,Surgery of spinal Cord Tumours,45000,51750
17,1,920,Ventriculoatrial /Ventriculoperitoneal Shunt (Select CGHS rate code 938 for approved rates),25000,28750
17,1,921,Twist Drill Craniostomy,4250,4888
17,1,922,Subdural Tapping,2456,2824
17,1,923,Ventricular Tapping,2967,3412
17,1,924,Abscess Tapping,2875,3306
17,1,925,Placement of Intracranial pressure (ICP) Monitor,2875,3306
17,1,926,Skull Traction Application,2300,2645
17,1,927,Lumbar Pressure Monitoring,4250,4888
17,1,928,Vascular Malformations,22000,25300
17,1,929,Meningo Encephalocoele excision and repair,15000,17250
17,1,930,Meningomyelocoele Repair,24995,28744
17,1,931,CSF Rhinorrhoea Repair,28750,33063
17,1,932,Cranioplasty,24150,27773
17,1,933,Anterior Cervical Discectomy,16600,19090
17,1,934,Brachial Plexus Exploration and neurotization,15525,17854
17,1,935,Median Nerve Decompression,14000,16100
17,1,936,Peripheral Nerve Surgery – Major,17250,19838
17,1,937,Peripheral Nerve Surgery Minor,8280,9522
17,1,938,Ventriculoatrial /Ventriculoperitoneal Shunt,11615,13357
17,1,939,Nerve Biopsy,6900,7935
17,1,940,Brain Biopsy,5808,6679
17,1,941,Anterior Cervical Spine Surgery with fusion,32200,37030
17,1,942,Anterio Lateral Decompression of spine,28750,33063
17,1,943,Brain Mapping,837,963
17,1,944,Cervical or Dorsal or Lumbar Laminectomy,23000,26450
17,1,945,Combined Trans-oral Surgery & Craniovertebral (CV) Junction Fusion,34500,39675
17,1,946,Craniovertebral Junction (CVJ) Fusion procedures,30000,34500
17,1,947,Depressed Fracture Elevation,25000,28750
17,1,948,Lumbar Discectomy,27600,31740
17,1,949,Endarterectomy (Carotid),20000,23000
17,1,950,Radiofrequency Ablation (RFA) for Trigeminal Neuralgia,11500,13225
17,1,951,Spasticity Surgery -,39675,45626
17,1,952,Spinal Fusion Procedure,30000,34500
17,1,953,Spinal Intra Medullary Tumours,34500,39675
17,1,954,Spinal Bifida Surgery Major,18975,21821
17,1,955,Spinal Bifida Surgery Minor,15000,17250
17,1,956,Stereotaxic Procedures- biopsy/aspiration of cyst,23000,26450
17,1,957,Trans Sphenoidal Surgery,30000,34500
17,1,958,Trans Oral Surgery,30000,34500
17,1,959,Implantation of Deep Brain Stimulation (DBS) -One electrode,34500,39675
17,1,960,Implantation of Deep Brain Stimulation (DBS) -two electrodes,40250,46288
17,1,961,Endoscopic aqueductoplasty,15000,17250
17,1,962,Facial nerve reconstruction,30000,34500
17,1,963,Carotid stenting,42263,48602
17,1,964,Cervical disc arthroplasty,27600,31740
17,1,965,Lumbar disc arthroplasty,13800,15870
17,1,966,Corpus callostomy for Epilepsy,35000,40250
17,1,967,Hemispherotomy for Epilepsy,32200,37030
17,1,968,Endoscopic CSF rhinorrhoea repair,30000,34500
17,1,969,Burr hole evacuation of chronic subdural haematoma,24150,27773
17,1,970,Epilepsy surgery other than at S No. 966 and 967,36225,41659
17,1,971,Radiofrequency Ablation (RFA) for facet joint pain syndrome,17250,19838
17,1,972,Cervical laminoplasty,32000,36800
17,1,973,Lateral mass C1-C2 screw fixation,23000,26450
17,1,974,Microsurgical decompression for Trigeminal nerve,38000,43700
17,1,975,Microsurgical decompression for hemifacial spasm,4646,5343
17,1,976,Extracranial-Intracranial Bypass Procedures (EC-IC) bypass procedures,32000,36800
17,1,977,Image guided craniotomy,28980,33327
18,1,978,Baclofen pump implantation,39000,44850
18,1,979,Programmable Ventriculo-Peritoneal (VP) shunt,25000,28750
18,1,980,Endoscopic sympathectomy,17107,19673
18,1,981,Lumbar puncture,207,238
18,1,982,External ventricular drainage (EVD),4600,5290
18,1,983,Endoscopic 3rd ventriculostomy,40000,46000
18,1,984,Endoscopic cranial surgery/Biopsy/aspiration,31536,36266
18,1,985,"Endoscopic discectomy (Lumbar, Cervical)",35621,40964
18,1,986,Aneurysm coiling (Endovascular),34400,39560
18,1,987,Surgery for skull fractures,40000,46000
18,1,988,Carpel Tunnel decompression,15000,17250
18,1,989,Clipping of intracranial aneurysm,24150,27773
18,1,990,Surgery for intracranial Arteriovenous malformations(AVM),40000,46000
18,1,991,Foramen magnum decompression for Chiari Malformation,93750,107813
18,1,992,Dorsal column stimulation for backache in failed back syndrome,28750,33063
18,1,993,Surgery for recurrent disc prolapse/epidural fibrosis,32200,37030
18,1,994,Surgery for brain stem tumours,43988,50586
18,1,995,Decompressive craniotomy for hemispherical acute subdural haematoma/brain swelling/large infarct,40000,46000
18,1,996,Intra-arterial thrombolysis with Tissue Plasminogen Activator (TPA) (for ischemic stroke ),4600,5290
18,1,997,Stereotactic aspiration of intracerebral haematoma,32545,37427
18,1,998,Endoscopic aspiration of intracerebellar haematoma,40000,46000
18,1,999,Stereotactic Radiosurgery for brain pathology(X knife/Gamma ) - ONE session,27560,31694
18,1,1000,Stereotactic Radiosurgery for brain pathology(X knife /Gamma knife -Two or more sessions,57500,66125
18,1,1001,Chemotheraphy wafers for malignant brain tumors,14450,16618
18,1,1002,Battery Placement for Deep Brain Stimulation (DBS),22000,25300
18,1,1003,Baclofen pump implantation for spasticity,17330,19930
18,1,1004,Peripheral Nerve tumor surgery,24000,27600
18,1,1005,Surgery Intra Cranial Meningioma,20000,23000
18,1,1006,Surgery for Intracranial Schwannoma,35000,40250
18,1,1007,Surgery for Gliomas,45000,51750
18,1,1008,Surgery for Orbital tumors,40000,46000
18,1,1009,Surgery for Cranial (Skull) tumors,38500,44275
18,1,1010,Surgery for Scalp Arteriovenous Malformations (AVMs),25000,28750
18,1,1011,Kyphoplasty,40000,46000
18,1,1012,Balloon Kyphoplasty,40000,46000
18,1,1013,"Lesioning procedures for Parkinson’s disease, Dystonia etc.",35000,40250
18,1,1014,Other Major Surgery-Neuro-surgery,42500,48875
18,1,1015,Other Minor Surgery-Neuro-surgery,17000,19550
18,1,,TREATMENT PROCEDURE PAEDIATRIC SURGERY,Non- NABH/Non- NABL Rates,NABH/NABL Rates
18,1,1016,Excision of thyroglossal Duct/Cyst,16000,18400
18,1,1017,Diaphragmatic Hernia Repair (Thoracic or Abdominal Approach),17250,19838
18,1,1018,Tracheo Oesophageal Fistula (Correction Surgery),23000,26450
18,1,1019,Colon Replacement of Oesophagus,23000,26450
18,1,1020,Omphalo Mesenteric Cyst Excision,17250,19838
18,1,1021,Omphalo Mesenteric Duct- Excision,15525,17854
18,1,1022,Meckels Diverticulectomy,3347,3849
18,1,1023,Omphalocele 1st Stage (Hernia Repair),15525,17854
18,1,1024,Omphalocele 2nd Stge (Hernia Repair),17250,19838
18,1,1025,Gastroschisis Repair,16100,18515
18,1,1026,Inguinal Herniotomy,12558,14442
18,1,1027,Congenital Hydrocele,12000,13800
18,1,1028,Hydrocele of Cord,12000,13800
18,1,1029,Torsion Testis Operation,15000,17250
18,1,1030,Congenital Pyloric Stenosis- operation,13938,16029
18,1,1031,Duodenal Atresia Operation,14000,16100
18,1,1032,Pancreatic Ring Operation,22425,25789
18,1,1033,Meconium Ileus Operation,14500,16675
18,1,1034,Malrotation of Intestines Operation,13000,14950
18,1,1035,Rectal Biopsy (Megacolon),9736,11196
19,1,1036,Colostomy Transverse,15000,17250
19,1,1037,Colostomy Left Iliac,15000,17250
19,1,1038,Abdominal Perineal Pull Through (Hirschsprung's Disease),19000,21850
19,1,1039,Imperforate Anus Low Anomaly -Cut Back Operation,10235,11770
19,1,1040,Imperforate Anus Low Anomaly - Perineal Anoplasty,12000,13800
19,1,1041,Imperforate Anus High Anomaly -Sacroabdomino Perineal Pull Through,12500,14375
19,1,1042,Imperforate Anus High Anomaly - Closure of Colostomy,8625,9919
19,1,1043,Intussusception Operation,20700,23805
19,1,1044,Choledochoduodenostomy for Atresia of Extra Hepatic Billiary Duct,15000,17250
19,1,1045,Operation of Choledochal Cyst,16000,18400
19,1,1046,Nephrectomy for -Pyonephrosis,17000,19550
19,1,1047,Nephrectomy for - Hydronephrosis,15000,17250
19,1,1048,Nephrectomy for -Wilms Tumour,15000,17250
19,1,1049,Paraortic Lymphadenectomy with Nephrectomy for Wilms Tumour,20000,23000
19,1,1050,Sacro-Coccygeal Teratoma Excision,14000,16100
19,1,1051,Neuroblastoma Debulking,16000,18400
19,1,1052,Neuroblastoma Total Excision,20700,23805
19,1,1053,Rhabdomyosarcoma wide Excision,15000,17250
19,1,1054,Congenital Atresia & Stenosis of Small Intestine,19000,21850
19,1,1055,Meconium ileus (Select CGHS rate code 1033),See code 1033,See Code 1033
19,1,1056,Malrotation & Volvulus of the Midgut,15000,17250
19,1,1057,Excision of Meckel’s Deverticulum,12000,13800
19,1,1058,Other Major Surgery-Paediatric Surgery,27000,31050
19,1,1059,Other Minor Surgery-Paediatric Surgery,11050,12708
19,1,,TREATMENT PROCEDURE BURNS AND PLASTIC SURGERY,Non- NABH/Non- NABL Rates,NABH/NABL Rates
19,1,1060,Primary Suturing of Wound,300,345
19,1,1061,Injection of Keloids - Ganglion,1099,1264
19,1,1062,Injection of Keloids - Haemangioma,1150,1323
19,1,1063,Free Grafts - Wolfe Grafts,1725,1984
19,1,1064,Free Grafts - Thiersch- Small Area 5%,7475,8596
19,1,1065,Free Grafts - Large Area 10%,8000,9200
19,1,1066,Free Grafts - Very Large Area 20% and above.,10350,11903
19,1,1067,Skin Flaps - Rotation Flaps,8970,10316
19,1,1068,Skin Flaps - Advancement Flaps,12500,14375
19,1,1069,Skin Flaps - Direct- cross Leg Flaps- Cross Arm Flap,12500,14375
19,1,1070,Skin Flaps - Cross Finger,12500,14375
19,1,1071,Skin Flaps - Abdominal,9350,10753
19,1,1072,Skin Flaps - Thoracic,9350,10753
19,1,1073,Skin Flaps - Arm Etc.,11000,12650
19,1,1074,Subcutaneous Pedicle Flaps Raising,6900,7935
19,1,1075,Subcutaneous Pedicle Flaps Delay,5950,6843
19,1,1076,Subcutaneous Pedicle Flaps Transfer,5950,6843
19,1,1077,Cartilage Grafting,8625,9919
19,1,1078,Reduction of Facial Fractures of Nose,1380,1587
19,1,1079,Reduction of Facial Fractures of Maxilla,8000,9200
19,1,1080,Reduction of Fractures of Mandible & Maxilla - Eyelet Splinting,7475,8596
19,1,1081,Reduction of Fractures of Mandible & Maxilla - Cast Metal Splints,6900,7935
19,1,1082,Reduction of Fractures of Mandible & Maxilla - Gunning Splints,7500,8625
19,1,1083,Internal Wire Fixation of Mandible & Maxilla,11500,13225
19,1,1084,Cleft Lip - repair.,11500,13225
19,1,1085,Cleft Palate Repair,12650,14548
19,1,1086,Primary Bone Grafting for alveolar cleft in Cleft Lip,11500,13225
19,1,1087,Secondary Surgery for Cleft Lip Deformity,10000,11500
19,1,1088,Secondary Surgery for Cleft Palate,12650,14548
19,1,1089,Reconstruction of Eyelid Defects - Minor,6325,7274
19,1,1090,Reconstruction of Eyelid Defects - Major,8500,9775
19,1,1091,Plastic Surgery of Different Regions of the Ear - Minor,8050,9258
19,1,1092,Plastic Surgery of Different Regions of the Ear - Major,10350,11903
19,1,1093,Plastic Surgery of the Nose - Minor,8050,9258
19,1,1094,Plastic Surgery of the Nose - Major,9500,10925
19,1,1095,Plastic Surgery for Facial Paralysis (Support with Reanimation),16100,18515
20,1,1096,Pendulous Breast - Mammoplasty,13000,14950
20,1,1097,Underdeveloped Breast Mammoplasty,12000,13800
20,1,1098,After Mastectomy (Reconstruction)Mammoplasty,12000,13800
20,1,1099,Syndactyly Repair,12750,14663
20,1,1100,Dermabrasion Face,13225,15209
20,1,1101,upto 30% Burns 1st Dressing,152,175
20,1,1102,upto 30% Burns Subsequent Dressing,124,143
20,1,1103,30% to 50% Burns 1st Dressing,193,222
20,1,1104,30% to 50% Burns Subsequent Dressing,152,175
20,1,1105,Extensive Burn -above 50% Frist Dressing,276,317
20,1,1106,Extensive Burn -above 50% Subsequent dressing,193,222
20,1,,TREATMENT PROCEDURE ORTHOPEDICS,Non- NABH/Non- NABL Rates,NABH/NABL Rates
20,1,1107,Plaster Work,255,293
20,1,1108,Fingers (post slab),259,298
20,1,1109,Fingers full plaster,259,298
20,1,1110,Colles Fracture - Below elbow,978,1125
20,1,1111,Colles Fracture - Full plaster,994,1143
20,1,1112,Colles fracture Ant. Or post. slab,400,460
20,1,1113,Above elbow full plaster,173,199
20,1,1114,Above Knee post-slab,575,661
20,1,1115,Below Knee full plaster,173,199
20,1,1116,Below Knee post-slab,718,826
20,1,1117,Tube Plaster (or plaster cylinder),800,920
20,1,1118,Above knee full plaster,1265,1455
20,1,1119,Above knee full slab,1158,1332
20,1,1120,Minerva Jacket,2415,2777
20,1,1121,Plaster Jacket,2185,2513
20,1,1122,Shoulder spica,1955,2248
20,1,1123,Single Hip spica,2243,2579
20,1,1124,Double Hip spica,2760,3174
20,1,1125,Strapping of Finger,179,206
20,1,1126,Strapping of Toes,180,207
20,1,1127,Strapping of Wrist,230,265
20,1,1128,Strapping of Elbow,262,301
20,1,1129,Strapping of Knee,345,397
20,1,1130,Strapping of Ankle,345,397
20,1,1131,Strapping of Chest,460,529
20,1,1132,Strapping of Shoulder,518,596
20,1,1133,Figure of 8 bandage,518,596
20,1,1134,Collar and cuff sling,255,293
20,1,1135,Ball bandage,400,460
20,1,1136,Application of POP Casts for Upper & Lower Limbs,633,728
20,1,1137,Application of Functional Cast Brace,1350,1553
20,1,1138,Application of Skin Traction,690,794
20,1,1139,Application of Skeletal Tractions,949,1091
20,1,1140,Bandage & Strappings for Fractures,552,635
20,1,1141,Aspiration & Intra Articular Injections,575,661
20,1,1142,Application of POP Spices & Jackets,2473,2844
20,1,1143,Close Reduction of Fractures of Limb & POP,2600,2990
20,1,1144,Reduction of Compound Fractures,2760,3174
20,1,1145,Open Reduction & Internal Fixation (ORIF) of Fingers & Toes,5175,5951
20,1,1146,Open Reduction of fracture of Long Bones of Upper / Lower Limb -Nailing & External Fixation,8050,9258
20,1,1147,Open Reduction of fracture of Long Bones of Upper / Lower Limb -AO Procedures,9660,11109
20,1,1148,Tension Band Wirings,5658,6507
20,1,1149,Bone Grafting,6601,7591
20,1,1150,Excision of Bone Tumours,6900,7935
20,1,1151,Excision or other Operations for Scaphoid Fractures,7188,8266
20,1,1152,Sequestrectomy & Saucerisation,6900,7935
20,1,1153,Sequestrectomy & Saucerizations -Arthrotomy,9971,11467
20,1,1154,Multiple Pinning Fracture Neck Femur,11500,13225
20,1,1155,Plate Fixations for Fracture Neck Femur,13500,15525
20,1,1156,AO Compression Procedures for Fracture Neck Femur,16560,19044
21,1,1157,Open Reduction of Fracture Neck Femur Muscle Pedicle Graft and Internal Fixations,19500,22425
21,1,1158,Close Reduction of Dislocations,3174,3650
21,1,1159,Open Reduction of Dislocations,3439,3955
21,1,1160,Open Reduction & Internal Fixation (ORIF) of Fracture Dislocation,13500,15525
21,1,1161,Neurolysis/Nerve repair,13800,15870
21,1,1162,Nerve Repair with Grafting,16675,19176
21,1,1163,Tendon with Transplant or Graft,10350,11903
21,1,1164,Tendon Lengthening/Tendon repair,8050,9258
21,1,1165,Tendon Transfer,3105,3571
21,1,1166,Laminectomy Excision Disc and Tumours,4830,5555
21,1,1167,Split Osteotomy and Internal Fixations,24150,27773
21,1,1168,Anterolateral decompression for tuberculosis/ Costo- Transversectomy,3450,3968
21,1,1169,Antereolateral Decompression and Spine Fusion,19350,22253
21,1,1170,Corrective Osteotomy & Internal Fixation- short bones,13800,15870
21,1,1171,Corrective Osteotomy & Internal Fixation- long bones,11040,12696
21,1,1172,Arthrodesis of - Minor Joints,10350,11903
21,1,1173,Arthrodesis of - Major Joints,10000,11500
21,1,1174,Soft Tissue Operations for Congenital Talipes Equinovarus (CTEV),8050,9258
21,1,1175,Soft Tissue Operations for Polio,6900,7935
21,1,1176,Hemiarthroplasty- Hip,20000,23000
21,1,1177,Hemiarthroplasty- Shoulder,20000,23000
21,1,1178,Operations for Brachial Plexus & Cervical Rib,24150,27773
21,1,1179,Amputations - Below Knee,6900,7935
21,1,1180,Amputations - Below Elbow,6843,7869
21,1,1181,Amputations - Above Knee,8050,9258
21,1,1182,Amputations - Above Elbow,6843,7869
21,1,1183,Amputations - Forequarter,13225,15209
21,1,1184,Amputations -Hind Quarter and Hemipelvectomy,18400,21160
21,1,1185,Disarticulations - Major joint,20700,23805
21,1,1186,Disarticulations - Minor joint,12650,14548
21,1,1187,Arthrography,9200,10580
21,1,1188,Arthroscopy - Diagnostic,8568,9853
21,1,1189,Arthroscopy-therapeutic: without implant,10000,11500
21,1,1190,Arthroscopy-therapeutic: with implant,17250,19838
21,1,1191,Soft Tissue Operation on Joints -Small,6900,7935
21,1,1192,Soft Tissue Operation on Joints -Large,13500,15525
21,1,1193,Myocutaneous and Fasciocutaneous Flap Procedures for Limbs,18630,21425
21,1,1194,Removal of Wires & Screw,1760,2024
21,1,1195,Removal of Plates,4140,4761
21,1,1196,Total Hip Replacement (THR),79000,90850
21,1,1197,Total Ankle Joint Replacement,95400,109710
21,1,1198,Total Knee Joint Replacement (TKR),110000,126500
21,1,1199,Total Shoulder Joint Replacement,79000,90850
21,1,1200,Total Elbow Joint Replacement,79000,90850
21,1,1201,Total Wrist Joint Replacement,100000,115000
21,1,1202,Total finger joint replacement,20000,23000
21,1,1203,Tubular external fixator,4600,5290
21,1,1204,Ilizarov's external fixator,7763,8927
21,1,1205,Pelvi-acetebular fracture -Internal fixation,8625,9919
21,1,1206,Meniscectomy,12000,13800
21,1,1207,Meniscus Repair,10000,11500
21,1,1208,Anterior Cruciate Ligament (ACL) Reconstruction,8500,9775
21,1,1209,Posterior Cruciate Ligament (PCL) Reconstruction,13500,15525
21,1,1210,Knee Collateral Ligament Reconstruction,12500,14375
21,1,1211,Bankart Repair Shoulder,13200,15180
21,1,1212,RC Repair,1500,1725
21,1,1213,Biceps tenodesis,14000,16100
21,1,1214,Distal biceps tendon repair,10380,11937
21,1,1215,Arthrolysis of knee,12500,14375
21,1,1216,Capsulotomy of Shoulder,15800,18170
21,1,1217,Conservative Plaster of Paris (POP),1200,1380
21,1,1218,Application for CTEV per sitting,1200,1380
21,1,1219,Total Hip Replacement (THR) Revision Stage-I,17000,19550
21,1,1220,Total Hip Replacement (THR) Revision Stage-II,50000,57500
21,1,1221,Total Knee Replacement (TKR) Revision Stage-I,35000,40250
22,1,1222,Total Knee Replacement (TKR) Revision Stage-II,35000,40250
22,1,1223,Illizarov/ external fixation for limb lengthening/ deformity correction,12500,14375
22,1,1224,Discectomy/ Micro Discectomy,12500,14375
22,1,1225,Laminectomy,4646,5343
22,1,1226,Spinal Fixation Cervical/dorsolumbar/ lumbosacral,16000,18400
22,1,1227,Fusion Surgery Cervical/ Lumbar Spine upto 2 Level,22000,25300
22,1,1228,Spinal Fusion Surgery Cervical/ Lumbar Spine -More than 2 Level,12000,13800
22,1,1229,Scoliosis Surgery/ Deformity Correction of Spine,25000,28750
22,1,1230,Vertebroplasty,12000,13800
22,1,1231,Spinal Injections,450,518
22,1,1232,Dynamic Hip Screw (DHS) for Fracture Neck Femur,15000,17250
22,1,1233,Proximal Femoral Nail (PFN for IT Fracture),14000,16100
22,1,1234,Spinal Osteotomy,1434,1649
22,1,1235,Illizarov’s / External Fixation for Trauma,13000,14950
22,1,1236,Soft Tissue Operations for Polio/ Cerebral Palsy,10557,12141
22,1,1237,Mini Fixator for Hand/Foot,9000,10350
22,1,1238,Other Major Surgery-Orthopedics,38250,43988
22,1,1239,Other Minor Surgery-Orthopedics,11883,13665
22,1,,TREATMENT PROCEDURE PHYSIOTHERAPY,Non- NABH/Non- NABL Rates,NABH/NABL Rates
22,1,1240,Ultrasonic therapy,78,90
22,1,1241,Shortwave Diathermy (SWD),78,90
22,1,1242,Electrical stimulation (therapeutic),78,90
22,1,1243,Muscle testing and diagnostic,71,82
22,1,1244,Infrared,78,90
22,1,1245,Ultraviolet Therapeutic (UV Therapeutic) dose,58,67
22,1,1246,Intermittent Lumbar Traction,78,90
22,1,1247,Intermittent Cervical traction,75,86
22,1,1248,Wax bath,75,86
22,1,1249,Hot pack,78,90
22,1,1250,Breathing Exercises & Postural Drainage,50,58
22,1,1251,Cerebral Palsy – exercise,50,58
22,1,1252,Post – polio exercise,50,58
22,1,,NUCLEAR MEDICINE / RADIOTHERAPY AND CHEMOTHERAPY,Non- NABH/Non- NABL Rates,NABH/NABL Rates
22,1,1253,Cobalt 60 therapy,63750,73313
22,1,1254,Cobalt 60 therapy- Radical therapy,68425,78689
22,1,1255,Cobalt 60 therapy- Palliative therapy,24438,28104
22,1,1256,Linear accelerator,29750,34213
22,1,1257,Linear accelerator- Radical therapy,58650,67448
22,1,1258,Linear accelerator- Palliative therapy,34213,39345
22,1,1259,3D Planning,4888,5621
22,1,1260,2D Planning,4888,5621
22,1,1261,IMRT(Intensity Modulated radiotherapy),100878,116010
22,1,1262,SRT (Stereotactic radiotherapy),60996,70145
22,1,1263,SRS(Stereotactic radio surgery),80546,92628
22,1,1264,IGRT(Image guided radiotherapy),147016,169068
22,1,1265,Respiratory Gating-alongwith Linear accelerator planning,110000,126500
22,1,1266,Electron beam with Linear accelerator,67473,77594
22,1,1267,Tomotherapy,79400,91310
22,1,,NUCLEAR MEDICINE / BRACHYTHERAPY- HIGH DOSE RADIATION,Non- NABH/Non- NABL Rates,NABH/NABL Rates
22,1,1268,Intracavitary (Brachytherapy),11730,13490
22,1,1269,Interstitial (Brachytherapy),58650,67448
22,1,1270,Intraluminal (Brachytherapy),9775,11241
22,1,1271,Surface mould (Brachytherapy),4644,5341
22,1,1272,Gliadel Wafer (Brachytherapy),93900,107985
22,1,,NUCLEAR MEDICINE / CHEMOTHERAPY,Non- NABH/Non- NABL Rates,NABH/NABL Rates
22,1,1273,Neoadjuvant Chemotherapy,863,992
22,1,1274,Adjuvant Chemotherapy,863,992
22,1,1275,Concurrent-chemoradiation,920,1058
23,1,1276,Single drug Chemotherapy,552,635
23,1,1277,Multiple drugs Chemotherapy,897,1032
23,1,1278,Targeted therapy,920,1058
23,1,1279,Chemoport facility,920,1058
23,1,1280,PICC line (peripherally inserted Central Cannulisation),920,1058
23,1,,LIST OF PROCEDURES/ TESTS IN GASTROENTEROLOGY / ENDOSCOPIC PROCEDURES,Non- NABH/Non- NABL Rates,NABH/NABL Rates
23,1,1281,Upper GI Endoscopy + Lower GI Endoscopy,1725,1984
23,1,1282,Diagnostic endoscopy,250,288
23,1,1283,Endoscopic biopsy,345,397
23,1,1284,Endoscopic mucosal resection,1543,1774
23,1,1285,Oesophageal stricture dilatation,1725,1984
23,1,1286,Balloon dilatation of achalasia cardia,2875,3306
23,1,1287,Foreign body removal,1725,1984
23,1,1288,Oesophageal stenting,3000,3450
23,1,1289,Band ligation of oesophageal varices,2500,2875
23,1,1290,Sclerotherapy of oesophageal varices,2500,2875
23,1,1291,Glue injection of varices,2500,2875
23,1,1292,Argon plasma coagulation,4025,4629
23,1,1293,Pyloric balloon dilatation,2415,2777
23,1,1294,Enteranal stenting,3680,4232
23,1,1295,Duodenal stricture dilation,990,1139
23,1,1296,Single balloon enteroscopy,4000,4600
23,1,1297,Double balloon enteroscopy,3500,4025
23,1,1298,Capsule endoscopy,4950,5693
23,1,1299,Piles banding,1099,1264
23,1,1300,Colonic stricture dilatation,2737,3148
23,1,1301,Hot biopsy forceps procedures,3000,3450
23,1,1302,Colonic stenting,2737,3148
23,1,1303,Junction biopsy,2000,2300
23,1,1304,Conjugal microscopy,4000,4600
23,1,1305,Endoscopic sphincterotomy,2415,2777
23,1,1306,Common Bile Duct (CBD) stone extraction,2415,2777
23,1,1307,Common Bile Duct (CBD) stricture dilatation,6500,7475
23,1,1308,Biliary stenting (plastic and metallic),4830,5555
23,1,1309,Mechanical lithotripsy of CBD stones,8000,9200
23,1,1310,Pancreatic sphincterotomy,6375,7331
23,1,1311,Pancreatic stricture dilatation,5750,6613
23,1,1312,Pancreatic stone extraction,10098,11613
23,1,1313,Mechanical lithotripsy of pancreatic stones,11385,13093
